Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,01/02/2017,"1,92961003","0,03%","R$ 0,00","R$ 165.000,00","R$ 3.562.648,84",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,31/01/2017,"1,92907667","-0,40%","R$ 0,00","R$ 0,00","R$ 3.726.618,50",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,30/01/2017,"1,93676919","0,04%","R$ 0,00","R$ 0,00","R$ 3.732.795,55",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,27/01/2017,"1,93596984","0,04%","R$ 0,00","R$ 0,00","R$ 3.731.254,94",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,26/01/2017,"1,93517098","0,04%","R$ 0,00","R$ 0,00","R$ 3.729.715,26",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,25/01/2017,"1,9343726","0,04%","R$ 0,00","R$ 0,00","R$ 3.728.176,53",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,24/01/2017,"1,93360835","0,04%","R$ 0,00","R$ 0,00","R$ 3.726.703,55",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,23/01/2017,"1,93281754","0,04%","R$ 0,00","R$ 20.000,00","R$ 3.725.179,40",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,20/01/2017,"1,93203035","0,04%","R$ 0,00","R$ 0,00","R$ 3.743.654,08",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,19/01/2017,"1,93122063","0,04%","R$ 0,00","R$ 0,00","R$ 3.742.085,10",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,18/01/2017,"1,93041091","0,04%","R$ 0,00","R$ 0,00","R$ 3.740.516,13",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,17/01/2017,"1,92960217","0,04%","R$ 0,00","R$ 0,00","R$ 3.738.949,05",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,16/01/2017,"1,9287939","0,04%","R$ 0,00","R$ 0,00","R$ 3.737.382,89",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,13/01/2017,"1,92806168","0,04%","R$ 0,00","R$ 0,00","R$ 3.735.964,08",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,12/01/2017,"1,92725386","0,04%","R$ 0,00","R$ 0,00","R$ 3.734.398,79",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,11/01/2017,"1,92639293","0,04%","R$ 0,00","R$ 0,00","R$ 3.732.730,58",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,10/01/2017,"1,92553382","0,04%","R$ 0,00","R$ 0,00","R$ 3.731.065,90",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,09/01/2017,"1,92467399","0,14%","R$ 0,00","R$ 0,00","R$ 3.729.399,83",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,06/01/2017,"1,92200613","0,04%","R$ 0,00","R$ 0,00","R$ 3.724.230,36",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,05/01/2017,"1,92115388","0,04%","R$ 0,00","R$ 16.000,00","R$ 3.724.190,81",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,04/01/2017,"1,92034778","0,04%","R$ 0,00","R$ 0,00","R$ 3.738.621,46",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,03/01/2017,"1,91948754","0,04%","R$ 0,00","R$ 0,00","R$ 3.736.946,72",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,02/01/2017,"1,91862788","0,04%","R$ 0,00","R$ 0,00","R$ 3.735.273,08",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,30/12/2016,"1,91776876","0,02%","R$ 0,00","R$ 0,00","R$ 3.733.600,52",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,29/12/2016,"1,91743356","0,02%","R$ 0,00","R$ 0,00","R$ 3.732.947,93",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,28/12/2016,"1,9170989","0,02%","R$ 0,00","R$ 0,00","R$ 3.732.296,39",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,27/12/2016,"1,91676481","0,02%","R$ 0,00","R$ 0,00","R$ 3.731.645,97",2
